"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert <#2>","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDjjCCAnagAwIBAgIQAzrx5qcRqaC7KGSxHQn65TANBgkqhkiG9w0BAQsFADBhMQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3d3cuZGlnaWNlcnQuY29tMSAwHgYDVQQDExdEaWdpQ2VydCBHbG9iYWwgUm9vdCBHMjAeFw0xMzA4MDExMjAwMDBaFw0zODAxMTUxMjAwMDBaMGExCzAJBgNVBAYTAlVTMRUwEwYDVQQKEwxEaWdpQ2VydCBJbmMxGTAXBgNVBAsTEHd3dy5kaWdpY2VydC5jb20xIDAeBgNVBAMTF0RpZ2lDZXJ0IEdsb2JhbCBSb290IEcyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuzfNNNx7a8myaJCtSnX/RrohCgiN9RlUyfuI2/Ou8jqJkTx65qsGGmvPrC3oXgkkRLpimn7Wo6h+4FR1IAWsULecYxpsMNzaHxmx1x7e/dfgy5SDN67sH0NO3Xss0r0upS/kqbitOtSZpLYl6ZtrAGCSYP9PIUkY92eQq2EGnI/yuum06ZIya7XzV+hdG82MHauVBJVJ8zUtluNJbd134/tJS7SsVQepj5WztCO7TG1F8PapspUwtP1MVYwnSlcUfIKdzXOS0xZKBgyMUNGPHgm+F6HmIcr9g+UQvIOlCsRnKPZzFBQ9RnbDhxSJITRNrw9FDKZJobq7nMWxM4MphQIDAQABo0IwQDAPBgNVHRMBAf8EBTADAQH/MA4GA1UdDwEB/wQEAwIBhjAdBgNVHQ4EFgQUTiJUIBiV5uNu5g/6+rkS7QYXjzkwDQYJKoZIhvcNAQELBQADggEBAGBnKJRvDkhj6zHd6mcY1Yl9PMWLSn/pvtsrF9+wX3N3KjITOYFnQoQj8kVnNeyIv/iPsGEMNKSuIEyExtv4NeF22d+mQrvHRAiGfzZ0JFrabA0UWTW98kndth/Jsw1HKj2ZL7tcu7XUIOGZX1NGFdtom/DzMNU+MeKNhJ7jitralj41E6Vf8PlwUHBHQRFXGU7Aj64GxJUTFy8bJZ918rGOmaFvE7FBcf6IKshPECBV1/MUReXgRPTqh5Uykw7+U0b6LJ3/iyK5S9kJRaTepLiaWN0bfVKfjllDiIGknibVb63dDcY3fe0Dkhvld1927jyNxF1WW6LZZm6zNTflMrY=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","CB3CCBB76031E5E0138F8DD39A23F9DE47FFC35E43C1144CEA27D46A5AB1CB5F","",""
"intermediate_cert_notBefore <#2>","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","2013-08-01 12:00","",""
"intermediate_cert_notAfter <#2>","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","2038-01-15 12:00","",""
"intermediate_cert_expiration <#2>","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","DigiCert Global Root G2 <-- DigiCert Global Root G2","",""
"intermediate_cert_badOCSP","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","intermediate certificate(s) is/are ok","",""
"heartbleed","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","not applicable, not HTTP","CVE-2016-9244","CWE-200"
"ROBOT","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","supported","","CWE-310"
"secure_client_renego","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","MEDIUM","VULNERABLE, potential DoS threat","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable (not using HTTP anyway)","CVE-2012-4929","CWE-310"
"POODLE_SSL","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=A1045708557CF602AC9B7FAD089D5DFE95A64FC63D812AD04D9F4DBF363AAAB5","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","RFC7919/ffdhe2048","CVE-2015-4000","CWE-310"
"LOGJAM","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","LOW","potentially vulnerable, uses obsolete TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11_12","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_13_14","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_15","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chromium_137_win11","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_137_win11","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_8_win7","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-ie_11_win81","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-ie_11_winphone81","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-edge_133_win11_23h2","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_184_ios_184","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_184_osx_154","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","No connection","",""
"clientsimulation-java_80442","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1102","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1703","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_2106","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_336","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_102e","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_315","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_350","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
