"id","fqdn/ip","port","severity","finding","cve","cwe"
"FREAK","www.urssaf.fr/193.178.136.246","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.urssaf.fr/193.178.136.246","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.urssaf.fr/193.178.136.246","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=493C46634EA1C8D095A9E038CD96893B0F4518E122F6A88C169CEE730C61D957","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.urssaf.fr/193.178.136.246","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.urssaf.fr/193.178.136.246","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.urssaf.fr/193.178.136.246","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.urssaf.fr/193.178.136.246","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","www.urssaf.fr/193.178.136.246","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.urssaf.fr/193.178.136.246","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11_12","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_13_14","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_15","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chromium_137_win11","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_137_win11","www.urssaf.fr/193.178.136.246","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_8_win7","www.urssaf.fr/193.178.136.246","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.urssaf.fr/193.178.136.246","443","INFO","No connection","",""
"clientsimulation-ie_11_win81","www.urssaf.fr/193.178.136.246","443","INFO","No connection","",""
